date,retailer_id,sales_rep_id,visit_type
2023-01-01,RET0109,REP025,merchandising
2023-01-01,RET0433,REP029,audit
2023-01-01,RET0313,REP019,order
2023-01-01,RET0194,REP035,audit
2023-01-01,RET0031,REP006,order
2023-01-01,RET0037,REP043,order
2023-01-01,RET0429,REP018,order
2023-01-01,RET0297,REP029,audit
2023-01-01,RET0247,REP005,merchandising
2023-01-01,RET0055,REP019,merchandising
2023-01-01,RET0356,REP050,audit
2023-01-01,RET0444,REP019,merchandising
2023-01-01,RET0385,REP038,merchandising
2023-01-01,RET0263,REP021,merchandising
2023-01-01,RET0008,REP015,audit
2023-01-01,RET0414,REP011,order
2023-01-01,RET0060,REP039,audit
2023-01-01,RET0390,REP035,merchandising
2023-01-01,RET0158,REP043,merchandising
2023-01-01,RET0148,REP022,audit
2023-01-01,RET0438,REP008,audit
2023-01-01,RET0417,REP047,merchandising
2023-01-01,RET0210,REP034,merchandising
2023-01-01,RET0491,REP028,order
2023-01-01,RET0384,REP038,audit
2023-01-01,RET0066,REP015,merchandising
2023-01-01,RET0342,REP023,audit
2023-01-01,RET0320,REP033,order
2023-01-01,RET0235,REP023,audit
2023-01-01,RET0396,REP045,order
2023-01-01,RET0171,REP041,audit
2023-01-01,RET0307,REP024,merchandising
2023-01-01,RET0348,REP015,order
2023-01-01,RET0136,REP033,merchandising
2023-01-01,RET0406,REP014,merchandising
2023-01-01,RET0091,REP003,order
2023-01-01,RET0090,REP043,audit
2023-01-01,RET0403,REP018,merchandising
2023-01-01,RET0151,REP024,merchandising
2023-01-01,RET0353,REP015,audit
2023-01-01,RET0043,REP032,audit
2023-01-01,RET0281,REP025,order
2023-01-01,RET0435,REP035,order
2023-01-01,RET0295,REP038,audit
2023-01-01,RET0064,REP040,merchandising
2023-01-01,RET0158,REP043,audit
2023-01-01,RET0284,REP007,audit
2023-01-01,RET0283,REP040,audit
2023-01-01,RET0380,REP046,merchandising
2023-01-01,RET0063,REP017,audit
2023-01-01,RET0113,REP025,order
2023-01-03,RET0036,REP023,audit
2023-01-03,RET0044,REP008,merchandising
2023-01-03,RET0324,REP048,order
2023-01-03,RET0433,REP014,order
2023-01-03,RET0370,REP003,merchandising
2023-01-03,RET0379,REP012,merchandising
2023-01-03,RET0430,REP003,merchandising
2023-01-03,RET0068,REP047,merchandising
2023-01-03,RET0098,REP024,order
2023-01-03,RET0375,REP023,order
2023-01-03,RET0392,REP016,order
2023-01-03,RET0265,REP007,audit
2023-01-03,RET0253,REP030,audit
2023-01-03,RET0434,REP015,merchandising
2023-01-03,RET0358,REP027,merchandising
2023-01-03,RET0081,REP020,order
2023-01-03,RET0485,REP041,order
2023-01-03,RET0173,REP033,order
2023-01-03,RET0179,REP039,audit
2023-01-03,RET0336,REP044,merchandising
2023-01-03,RET0228,REP012,merchandising
2023-01-03,RET0030,REP049,audit
2023-01-03,RET0257,REP002,audit
2023-01-03,RET0382,REP045,merchandising
2023-01-03,RET0029,REP013,order
2023-01-03,RET0040,REP043,audit
2023-01-03,RET0131,REP036,merchandising
2023-01-03,RET0006,REP004,merchandising
2023-01-03,RET0160,REP046,merchandising
2023-01-03,RET0079,REP049,merchandising
2023-01-03,RET0024,REP006,order
2023-01-03,RET0190,REP024,audit
2023-01-03,RET0180,REP042,order
2023-01-03,RET0369,REP043,merchandising
2023-01-03,RET0362,REP043,merchandising
2023-01-05,RET0245,REP010,order
2023-01-05,RET0325,REP011,order
2023-01-05,RET0084,REP041,order
2023-01-05,RET0340,REP030,audit
2023-01-05,RET0126,REP030,audit
2023-01-05,RET0056,REP038,merchandising
2023-01-05,RET0465,REP039,audit
2023-01-05,RET0245,REP047,merchandising
2023-01-05,RET0283,REP046,merchandising
2023-01-05,RET0363,REP014,audit
2023-01-05,RET0136,REP024,merchandising
2023-01-05,RET0031,REP030,audit
2023-01-05,RET0266,REP013,audit
2023-01-05,RET0044,REP030,order
2023-01-05,RET0115,REP028,merchandising
2023-01-05,RET0499,REP030,merchandising
2023-01-05,RET0491,REP030,order
2023-01-05,RET0030,REP047,audit
2023-01-05,RET0188,REP002,order
2023-01-05,RET0337,REP007,audit
2023-01-05,RET0142,REP042,merchandising
2023-01-05,RET0269,REP044,order
2023-01-05,RET0249,REP044,merchandising
2023-01-05,RET0468,REP024,audit
2023-01-05,RET0345,REP040,audit
2023-01-05,RET0381,REP016,order
2023-01-05,RET0482,REP049,audit
2023-01-05,RET0437,REP012,audit
2023-01-05,RET0025,REP007,order
2023-01-05,RET0111,REP005,merchandising
