date,product_id,stock_on_hand
2023-01-01,PRD1000,5984
2023-01-01,PRD1001,9174
2023-01-01,PRD1002,4003
2023-01-01,PRD1005,3095
2023-01-01,PRD1006,8720
2023-01-01,PRD1009,5496
2023-01-01,PRD1010,166
2023-01-01,PRD1011,3235
2023-01-01,PRD1012,2666
2023-01-01,PRD1013,6827
2023-01-01,PRD1014,774
2023-01-01,PRD1015,3656
2023-01-01,PRD1016,8896
2023-01-01,PRD1017,4222
2023-01-01,PRD1018,5812
2023-01-01,PRD1019,8343
2023-01-01,PRD1022,6222
2023-01-01,PRD1023,9877
2023-01-01,PRD1024,745
2023-01-01,PRD1025,4813
2023-01-01,PRD1026,2233
2023-01-01,PRD1027,2989
2023-01-01,PRD1028,1999
2023-01-01,PRD1029,4408
2023-01-01,PRD1030,6788
2023-01-01,PRD1031,4107
2023-01-01,PRD1032,5095
2023-01-01,PRD1034,9055
2023-01-01,PRD1035,6838
2023-01-01,PRD1036,1150
2023-01-01,PRD1037,3414
2023-01-01,PRD1038,2328
2023-01-01,PRD1039,1173
2023-01-01,PRD1040,6528
2023-01-01,PRD1041,7662
2023-01-01,PRD1042,8882
2023-01-01,PRD1043,8398
2023-01-01,PRD1044,5241
2023-01-01,PRD1045,7517
2023-01-01,PRD1046,4680
2023-01-01,PRD1047,6304
2023-01-01,PRD1048,5745
2023-01-01,PRD1049,468
2023-01-08,PRD1000,9068
2023-01-08,PRD1001,9084
2023-01-08,PRD1002,9648
2023-01-08,PRD1005,852
2023-01-08,PRD1006,3387
2023-01-08,PRD1009,6727
2023-01-08,PRD1010,8546
2023-01-08,PRD1011,8544
2023-01-08,PRD1012,1317
2023-01-08,PRD1013,8758
2023-01-08,PRD1014,539
2023-01-08,PRD1015,359
2023-01-08,PRD1016,9959
2023-01-08,PRD1017,7623
2023-01-08,PRD1018,9450
2023-01-08,PRD1019,8255
2023-01-08,PRD1022,3793
2023-01-08,PRD1023,8975
2023-01-08,PRD1024,2775
2023-01-08,PRD1025,4301
2023-01-08,PRD1026,7229
2023-01-08,PRD1027,2308
2023-01-08,PRD1028,1694
2023-01-08,PRD1029,7081
2023-01-08,PRD1030,1829
2023-01-08,PRD1031,8282
2023-01-08,PRD1032,1037
2023-01-08,PRD1034,9684
2023-01-08,PRD1035,7971
2023-01-08,PRD1036,1755
2023-01-08,PRD1037,1684
2023-01-08,PRD1038,3368
2023-01-08,PRD1039,4523
2023-01-08,PRD1040,9482
2023-01-08,PRD1041,8958
2023-01-08,PRD1042,1063
2023-01-08,PRD1043,3195
2023-01-08,PRD1044,5887
2023-01-08,PRD1045,501
2023-01-08,PRD1046,5307
2023-01-08,PRD1047,4101
2023-01-08,PRD1048,7460
2023-01-08,PRD1049,1715
2023-01-15,PRD1000,4889
2023-01-15,PRD1001,1655
2023-01-15,PRD1002,1912
2023-01-15,PRD1005,1684
2023-01-15,PRD1006,3860
2023-01-15,PRD1009,7536
2023-01-15,PRD1010,2472
2023-01-15,PRD1011,6804
2023-01-15,PRD1012,8293
2023-01-15,PRD1013,9432
2023-01-15,PRD1014,6252
2023-01-15,PRD1015,6262
2023-01-15,PRD1016,825
2023-01-15,PRD1017,3357
2023-01-15,PRD1018,3161
2023-01-15,PRD1019,3464
2023-01-15,PRD1022,2371
2023-01-15,PRD1023,8224
2023-01-15,PRD1024,5178
2023-01-15,PRD1025,6993
2023-01-15,PRD1026,9475
2023-01-15,PRD1027,9173
2023-01-15,PRD1028,8772
2023-01-15,PRD1029,1796
2023-01-15,PRD1030,7046
2023-01-15,PRD1031,7142
2023-01-15,PRD1032,1329
2023-01-15,PRD1034,3998
2023-01-15,PRD1035,2834
2023-01-15,PRD1036,8273
2023-01-15,PRD1037,2407
2023-01-15,PRD1038,4923
2023-01-15,PRD1039,846
2023-01-15,PRD1040,9596
2023-01-15,PRD1041,6963
2023-01-15,PRD1042,1914
2023-01-15,PRD1043,7609
2023-01-15,PRD1044,1964
2023-01-15,PRD1045,4687
2023-01-15,PRD1046,4210
2023-01-15,PRD1047,3261
2023-01-15,PRD1048,2815
2023-01-15,PRD1049,6944
2023-01-22,PRD1000,2927
2023-01-22,PRD1001,4191
2023-01-22,PRD1002,3785
2023-01-22,PRD1005,3043
2023-01-22,PRD1006,2503
2023-01-22,PRD1009,8439
2023-01-22,PRD1010,5477
2023-01-22,PRD1011,4979
2023-01-22,PRD1012,5961
2023-01-22,PRD1013,7095
2023-01-22,PRD1014,1433
2023-01-22,PRD1015,7323
2023-01-22,PRD1016,3133
2023-01-22,PRD1017,225
2023-01-22,PRD1018,9878
2023-01-22,PRD1019,9215
2023-01-22,PRD1022,8041
2023-01-22,PRD1023,7832
2023-01-22,PRD1024,614
2023-01-22,PRD1025,3495
2023-01-22,PRD1026,6231
2023-01-22,PRD1027,6432
2023-01-22,PRD1028,3078
2023-01-22,PRD1029,6897
2023-01-22,PRD1030,7343
2023-01-22,PRD1031,3959
2023-01-22,PRD1032,1528
2023-01-22,PRD1034,8571
2023-01-22,PRD1035,1624
2023-01-22,PRD1036,409
2023-01-22,PRD1037,3818
2023-01-22,PRD1038,1839
2023-01-22,PRD1039,8938
2023-01-22,PRD1040,3230
2023-01-22,PRD1041,853
2023-01-22,PRD1042,6108
2023-01-22,PRD1043,8888
2023-01-22,PRD1044,9565
2023-01-22,PRD1045,3031
2023-01-22,PRD1046,2046
2023-01-22,PRD1047,4565
2023-01-22,PRD1048,2378
2023-01-22,PRD1049,891
2023-01-29,PRD1000,5008
2023-01-29,PRD1001,3832
2023-01-29,PRD1002,1148
2023-01-29,PRD1004,9829
2023-01-29,PRD1005,3638
2023-01-29,PRD1006,3125
2023-01-29,PRD1009,2222
2023-01-29,PRD1010,3050
2023-01-29,PRD1011,3424
2023-01-29,PRD1012,3840
2023-01-29,PRD1013,3182
2023-01-29,PRD1014,8880
2023-01-29,PRD1015,1458
2023-01-29,PRD1016,634
2023-01-29,PRD1017,475
2023-01-29,PRD1018,4031
2023-01-29,PRD1019,5169
2023-01-29,PRD1022,8084
2023-01-29,PRD1023,8325
2023-01-29,PRD1024,5176
2023-01-29,PRD1025,9299
2023-01-29,PRD1026,1382
2023-01-29,PRD1027,9246
2023-01-29,PRD1028,4621
2023-01-29,PRD1029,2591
2023-01-29,PRD1030,1567
2023-01-29,PRD1031,7003
2023-01-29,PRD1032,2392
2023-01-29,PRD1034,1636
2023-01-29,PRD1035,6547
2023-01-29,PRD1036,4308
2023-01-29,PRD1037,6521
2023-01-29,PRD1038,8363
2023-01-29,PRD1039,9561
2023-01-29,PRD1040,6200
2023-01-29,PRD1041,4812
2023-01-29,PRD1042,8446
2023-01-29,PRD1043,5664
2023-01-29,PRD1044,4038
2023-01-29,PRD1045,4266
2023-01-29,PRD1046,3076
2023-01-29,PRD1047,7779
2023-01-29,PRD1048,1923
2023-01-29,PRD1049,6380
2023-02-05,PRD1000,3459
2023-02-05,PRD1001,1000
2023-02-05,PRD1002,8468
2023-02-05,PRD1004,5922
2023-02-05,PRD1005,7513
2023-02-05,PRD1006,9427
2023-02-05,PRD1009,5077
2023-02-05,PRD1010,1225
2023-02-05,PRD1011,9468
2023-02-05,PRD1012,5501
2023-02-05,PRD1013,4405
2023-02-05,PRD1014,1225
2023-02-05,PRD1015,2287
2023-02-05,PRD1016,6201
2023-02-05,PRD1017,874
2023-02-05,PRD1018,2238
2023-02-05,PRD1019,1819
2023-02-05,PRD1022,4656
2023-02-05,PRD1023,4133
2023-02-05,PRD1024,1087
2023-02-05,PRD1025,9184
2023-02-05,PRD1026,9174
2023-02-05,PRD1027,1101
2023-02-05,PRD1028,6820
